"Subject" "Emotion" "Memory" "Test.Tag"
"176" 10 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_1.png"
"177" 10 "Anger" "Anger\Male\AM_2.png" "Anger\Male\AM_2.png"
"178" 10 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_6.png"
"179" 10 "Anger" "Anger\Male\AM_0.png" "Anger\Male\AM_0.png"
"180" 10 "Fear" "Fear\Male\FM_7.png" "Fear\Male\FM_4.png"
"181" 10 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_2.png"
"182" 10 "Fear" "Fear\Male\FM_7.png" "Fear\Male\FM_3.png"
"183" 10 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_4.png"
"184" 10 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_1.png"
"185" 10 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_1.png"
"186" 10 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_1.png"
"187" 10 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_2.png"
"188" 10 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_1.png"
"189" 10 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_7.png"
"190" 10 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_2.png"
"191" 10 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_7.png"
"192" 10 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_6.png"
"193" 11 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_3.png"
"194" 11 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_1.png"
"195" 11 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_6.png"
"196" 11 "Fear" "Fear\Female\FF_5.png" "Fear\Female\FF_6.png"
"197" 11 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_7.png"
"198" 11 "Happy" "Happiness\Male\HM_2.png" "Happiness\Male\HM_5.png"
"199" 11 "Happy" "Happiness\Male\HM_7.png" "Happiness\Male\HM_7.png"
"200" 11 "Fear" "Fear\Male\FM_7.png" "Fear\Male\FM_5.png"
